County,State,2013,2014,2015,2016,2017,2018
Midland County, TX,162800,168100,198000,190400,202100,215300
Milwaukee County, WI,146700,147200,150400,151700,157000,162600
Minnehaha County, SD,151700,159100,163200,173500,190400,196200
Missoula County, MT,242300,246800,246400,270300,295600,302100
Mobile County, AL,121200,120700,120500,126800,131200,131700
Mohave County, AZ,123900,120200,139400,148700,157100,189300
Monmouth County, NJ,380600,387900,396000,411300,421700,436200
Monongalia County, WV,164800,154000,188800,191300,216800,199600
Monroe County, NY,139900,137600,143100,143100,147700,151800
Monroe County, PA,176600,167800,166700,164200,164000,173500
Monroe County, MI,132100,140500,145800,158800,165600,168800
Monroe County, FL,356200,417000,409900,464700,513700,541900
